Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Revolving credit facility,Bank Mandiri,Indonesia,Southeast Asia,2017,16.48,Sungai Budi Group,Palm oil,Tunas Baru Lampung,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2018,16.47,Kwantas Group,Palm oil,Haranky,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2018,16.47,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2018,16.46,Kwantas Group,Palm oil,Kwantas Land Development,Southeast Asia
Corporate loan,Bank Bukopin,Indonesia,Southeast Asia,2014,16.46,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,HSBC,United Kingdom,Europe other,2015,16.46,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,Sumitomo Mitsui Trust,Japan,East Asia,2021,16.46,Itochu,Pulp & paper,Itochu,Southeast Asia
Shareholding,Sumitomo Mitsui Trust,Japan,East Asia,2021,16.46,Itochu,Rubber,Itochu,Southeast Asia
Shareholding,Sumitomo Mitsui Trust,Japan,East Asia,2021,16.46,Itochu,Timber,Itochu,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2015,16.45,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Rio Grande do Norte,Latin America
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2018,16.44,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Revolving credit facility,Santander,Spain,EU27,2018,16.44,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Revolving credit facility,Export Development Canada,Canada,North America,2018,16.44,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Revolving credit facility,Scotiabank,Canada,North America,2018,16.44,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,16.44,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Pernambuco,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2013,16.43,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2013,16.42,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara VIII,Southeast Asia
Corporate loan,Santander,Spain,EU27,2013,16.42,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Citigroup,United States,North America,2017,16.41,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Shareholding,Chelverton Asset Management,United Kingdom,Europe other,2021,16.39,MP Evans,Palm oil,MP Evans,Southeast Asia
Bond issuance,Bank of Ningbo,China,East Asia,2019,16.38,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Bond issuance,CITIC,China,East Asia,2019,16.38,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Shareholding,Sumitomo Mitsui Trust,Japan,East Asia,2021,16.37,Sumitomo Rubber Industries,Rubber,Sumitomo Rubber Industries,Southeast Asia
Bond issuance,China Construction Bank,China,East Asia,2019,16.36,COFCO,Soy,COFCO,Latin America
Bond issuance,China Eximbank,China,East Asia,2019,16.36,COFCO,Soy,COFCO,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2018,16.36,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Rimbunan Hijau Group,Malaysia,Southeast Asia,2021,16.35,Rimbunan Hijau Group,Palm oil,Rimbunan Sawit,Southeast Asia
Corporate loan,SMBC Group,Japan,East Asia,2015,16.34,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,16.33,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2013,16.32,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Revolving credit facility,Bank Mandiri,Indonesia,Southeast Asia,2015,16.3,Sungai Budi Group,Palm oil,Tunas Baru Lampung,Southeast Asia
Shareholding,Sun Life Financial,Canada,North America,2021,16.3,Archer Daniels Midland,Soy,Archer Daniels Midland,Latin America
Corporate loan,Santander,Spain,EU27,2016,16.29,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2018,16.27,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2017,16.25,DSN Group,Palm oil,DSN,Southeast Asia
Bond issuance,CITIC,China,East Asia,2019,16.25,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Bond issuance,Shanghai Pudong Development Bank,China,East Asia,2019,16.25,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Revolving credit facility,Credit Suisse,Switzerland,Europe other,2014,16.24,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Revolving credit facility,DBS,Singapore,Southeast Asia,2014,16.24,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Revolving credit facility,Credit Suisse,Switzerland,Europe other,2014,16.24,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Revolving credit facility,DBS,Singapore,Southeast Asia,2014,16.24,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Revolving credit facility,China Development Bank,China,East Asia,2017,16.24,COFCO,Palm oil,COFCO Agri,Southeast Asia
Revolving credit facility,China Development Bank,China,East Asia,2017,16.24,COFCO,Palm oil,COFCO Agri,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,16.24,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco de Desenvolvimento da Região Sul,Brazil,South America,2013,16.22,Cotriguacu Cooperativa Central,Beef,Cotriguacu Cooperativa Central,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2016,16.21,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2017,16.21,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara V,Southeast Asia
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2016,16.2,Austindo Group,Palm oil,Kayung Agro Lestari,Southeast Asia
Revolving credit facility,SMBC Group,Japan,East Asia,2015,16.2,Oji Group,Pulp & paper,Oji Holdings,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2015,16.19,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Bond issuance,Agricultural Bank of China,China,East Asia,2019,16.19,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Bond issuance,Bank of Ningbo,China,East Asia,2019,16.19,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Corporate loan,Itaú Unibanco,Brazil,South America,2013,16.17,Cargill,Beef,Cargill Agricola,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2019,16.17,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Santander,Spain,EU27,2016,16.16,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2017,16.15,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Bangkok Bank,Thailand,Southeast Asia,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,DBS,Singapore,Southeast Asia,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,HSBC,United Kingdom,Europe other,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,Standard Chartered,United Kingdom,Europe other,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,United Overseas Bank,Singapore,Southeast Asia,2013,16.15,Triputra Group,Palm oil,Agro Multi Persada,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2014,16.15,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2019,16.15,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2016,16.14,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2016,16.12,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Banco Regional de Desenvolvimento do Extremo Sul,Brazil,South America,2014,16.12,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,16.11,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Piauí,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2016,16.1,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Revolving credit facility,QNB Group,Qatar,Middle East,2019,16.09,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,CNH Industrial Capital,Netherlands,EU27,2016,16.05,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,HSBC,United Kingdom,Europe other,2013,16.05,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Bond issuance,Bank of China,China,East Asia,2014,16.03,COFCO,Soy,COFCO,Latin America
Bond issuance,CITIC,China,East Asia,2014,16.03,COFCO,Soy,COFCO,Latin America
Shareholding,Daiwa Securities,Japan,East Asia,2021,16.02,Sumitomo Rubber Industries,Rubber,Sumitomo Rubber Industries,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2018,16.02,Sungai Budi Group,Palm oil,Samora Usaha Jaya,Southeast Asia
Corporate loan,Commonwealth Bank of Australia,Australia,Oceania,2014,16.02,COFCO,Soy,COFCO Hong Kong,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2014,16.02,COFCO,Soy,COFCO Hong Kong,Latin America
Corporate loan,Westpac,Australia,Oceania,2014,16.02,COFCO,Soy,COFCO Hong Kong,Latin America
Revolving credit facility,Bank Central Asia,Indonesia,Southeast Asia,2013,16,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2014,16,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2015,16,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2016,16,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2017,16,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2018,16,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,AmBank Group,Malaysia,Southeast Asia,2019,16,MP Evans,Palm oil,MP Evans,Southeast Asia
Bond issuance,Bank of Communications,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Construction Bank,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Everbright Group,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Merchants Group,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Minsheng Banking,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,CSC Financial,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Donghai Securities,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,First Capital Securities,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Ping An Insurance Group,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Shanghai Pudong Development Bank,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Shenwan Hongyuan Group,China,East Asia,2015,15.99,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Bank of China,China,East Asia,2016,15.97,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,CITIC,China,East Asia,2016,15.97,COFCO,Palm oil,COFCO,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2015,15.96,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Mizuho Financial,Japan,East Asia,2021,15.96,Itochu,Pulp & paper,Itochu,Southeast Asia
Shareholding,Mizuho Financial,Japan,East Asia,2021,15.96,Itochu,Rubber,Itochu,Southeast Asia
Shareholding,Mizuho Financial,Japan,East Asia,2021,15.96,Itochu,Timber,Itochu,Southeast Asia
Corporate loan,Santander,Spain,EU27,2013,15.96,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Bond issuance,China Construction Bank,China,East Asia,2014,15.95,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2014,15.95,COFCO,Palm oil,COFCO,Southeast Asia
Shareholding,Grupo XP,Brazil,South America,2021,15.93,Marfrig,Beef,Marfrig Global Foods,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,15.93,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Ceará,Latin America
Corporate loan,DBS,Singapore,Southeast Asia,2017,15.92,Salim Group,Palm oil,Indofood Agri Resources,Southeast Asia
Corporate loan,Santander,Spain,EU27,2018,15.9,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2016,15.89,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Alagoas,Latin America
Bond issuance,Nomura,Japan,East Asia,2017,15.87,Sumitomo Rubber Industries,Rubber,Sumitomo Rubber Industries,Southeast Asia
Corporate loan,Caixa Econômica Federal,Brazil,South America,2016,15.87,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,15.84,Samling Group,Palm oil,Samling Strategic Corporation,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,15.84,Samling Group,Rubber,Samling Strategic Corporation,Southeast Asia
Bond issuance,China Everbright Group,China,East Asia,2016,15.84,Sinochem Group,Rubber,Sinochem International,Central & West Africa
Bond issuance,Guotai Junan Securities,China,East Asia,2016,15.84,Sinochem Group,Rubber,Sinochem International,Central & West Africa
Bond issuance,China Development Bank,China,East Asia,2016,15.84,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Bond issuance,UBS,Switzerland,Europe other,2016,15.84,Sinochem Group,Rubber,Sinochem Group,Southeast Asia
Corporate loan,Citigroup,United States,North America,2016,15.83,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Shareholding,Government Pension Fund Global,Norway,Europe other,2021,15.82,CMPC,Pulp & paper,CMPC,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,15.82,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Alagoas,Latin America
Bond issuance,Agricultural Bank of China,China,East Asia,2015,15.78,COFCO,Soy,COFCO,Latin America
Bond issuance,China Merchants Group,China,East Asia,2015,15.78,COFCO,Soy,COFCO,Latin America
Corporate loan,Banco de Desenvolvimento da Região Sul,Brazil,South America,2017,15.77,Coop Central Aurora Alimentos,Beef,Coop Central Aurora Alimentos,Latin America
Corporate loan,Safra Group,Brazil,South America,2019,15.76,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Safra Group,Brazil,South America,2017,15.75,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,Genting,Malaysia,Southeast Asia,2021,15.74,Genting Group,Palm oil,Genting Plantations,Southeast Asia
Corporate loan,Mitsubishi UFJ Financial,Japan,East Asia,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Bank of America,United States,North America,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Banco Bilbao Vizcaya Argentaria (BBVA),Spain,EU27,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Citigroup,United States,North America,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Crédit Agricole,France,EU27,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Export Development Canada,Canada,North America,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,HSBC,United Kingdom,Europe other,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,JPMorgan Chase,United States,North America,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Mizuho Financial,Japan,East Asia,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Morgan Stanley,United States,North America,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,BPCE Group,France,EU27,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Scotiabank,Canada,North America,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Société Générale,France,EU27,2015,15.73,Suzano,Pulp & paper,Fibria,Latin America
Shareholding,Bank of New York Mellon,United States,North America,2021,15.73,Top Glove,Rubber,Top Glove,Southeast Asia
Revolving credit facility,Citigroup,United States,North America,2017,15.73,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Citigroup,United States,North America,2017,15.73,Marubeni,Timber,Marubeni,Southeast Asia
Corporate loan,Caixa Econômica Federal,Brazil,South America,2014,15.73,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2019,15.71,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Revolving credit facility,Bank of America,United States,North America,2019,15.71,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Barclays,United Kingdom,Europe other,2019,15.71,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Citigroup,United States,North America,2019,15.71,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Corporate loan,Safra Group,Brazil,South America,2018,15.71,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco de Desenvolvimento da Região Sul,Brazil,South America,2014,15.71,Cotrijal Cooperativa Agropecuaria E Industrial,Soy,Cotrijal Cooperativa Agropecuaria E Industrial,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2017,15.68,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Bond issuance,China Merchants Group,China,East Asia,2016,15.67,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2016,15.67,COFCO,Palm oil,COFCO,Southeast Asia
Revolving credit facility,ABN Amro,Netherlands,EU27,2015,15.67,Sinochem Group,Rubber,Hevea Global,Southeast Asia
Revolving credit facility,Credit Suisse,Switzerland,Europe other,2015,15.67,Sinochem Group,Rubber,Hevea Global,Southeast Asia
Revolving credit facility,DBS,Singapore,Southeast Asia,2015,15.67,Sinochem Group,Rubber,Hevea Global,Southeast Asia
Revolving credit facility,ABN Amro,Netherlands,EU27,2015,15.67,Sinochem Group,Rubber,Hevea Global,Southeast Asia
Revolving credit facility,Credit Suisse,Switzerland,Europe other,2015,15.67,Sinochem Group,Rubber,Hevea Global,Southeast Asia
Revolving credit facility,DBS,Singapore,Southeast Asia,2015,15.67,Sinochem Group,Rubber,Hevea Global,Southeast Asia
Bond issuance,Bank of Ningbo,China,East Asia,2019,15.66,Sinochem Group,Rubber,Sinochem Group,Central & West Africa
Bond issuance,CITIC,China,East Asia,2019,15.66,Sinochem Group,Rubber,Sinochem Group,Central & West Africa
Bond issuance,China Construction Bank,China,East Asia,2016,15.65,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2016,15.65,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,Bank of Ningbo,China,East Asia,2019,15.64,Sinochem Group,Rubber,Sinochem Group,Central & West Africa
Bond issuance,CITIC,China,East Asia,2019,15.64,Sinochem Group,Rubber,Sinochem Group,Central & West Africa
Bond issuance,Citigroup,United States,North America,2017,15.64,Genting Group,Palm oil,Gohl Capital,Southeast Asia
Bond issuance,JPMorgan Chase,United States,North America,2017,15.64,Genting Group,Palm oil,Gohl Capital,Southeast Asia
Bond issuance,SMBC Group,Japan,East Asia,2017,15.64,Genting Group,Palm oil,Gohl Capital,Southeast Asia
Shareholding,Mirae Asset Financial Group,South Korea,East Asia,2021,15.64,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Bank of America,United States,North America,2014,15.63,Georgia-Pacific Group (Koch Industries),Timber,Georgia-Pacific Group,Southeast Asia
Revolving credit facility,JPMorgan Chase,United States,North America,2014,15.63,Georgia-Pacific Group (Koch Industries),Timber,Georgia-Pacific Group,Southeast Asia
Revolving credit facility,Wells Fargo,United States,North America,2014,15.63,Georgia-Pacific Group (Koch Industries),Timber,Georgia-Pacific Group,Southeast Asia
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2017,15.62,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara V,Southeast Asia
Corporate loan,Badesul Desenvolvimento,Brazil,South America,2013,15.62,Moveis K1,Timber,Moveis K1,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,15.62,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Alagoas,Latin America
Revolving credit facility,Bank of America,United States,North America,2019,15.61,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Barclays,United Kingdom,Europe other,2019,15.61,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Citigroup,United States,North America,2019,15.61,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Shareholding,Pertubuhan Keselamatan Sosial,Malaysia,Southeast Asia,2021,15.6,Sime Darby,Palm oil,Sime Darby Plantations,Southeast Asia
Bond issuance,Bank of Communications,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Construction Bank,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Everbright Group,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Merchants Group,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,China Minsheng Banking,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,CSC Financial,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Donghai Securities,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,First Capital Securities,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Ping An Insurance Group,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Shanghai Pudong Development Bank,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Shenwan Hongyuan Group,China,East Asia,2016,15.58,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Agricultural Bank of China,China,East Asia,2016,15.57,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2016,15.57,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,Bank of China,China,East Asia,2016,15.56,COFCO,Palm oil,COFCO,Southeast Asia
Bond issuance,CITIC,China,East Asia,2016,15.56,COFCO,Palm oil,COFCO,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2014,15.55,TDM,Palm oil,TDM,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2016,15.55,Tanjung Lingga Group,Palm oil,Kalimantan Sawit Abadi,Southeast Asia
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2019,15.55,Austindo Group,Palm oil,Austindo Nusantara Jaya,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2016,15.54,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Indonesia Eximbank,Indonesia,Southeast Asia,2017,15.54,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara VII,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,15.54,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Piauí,Latin America
Revolving credit facility,QNB Group,Qatar,Middle East,2018,15.53,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,15.52,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Revolving credit facility,Victoria Investama,Indonesia,Southeast Asia,2013,15.51,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,15.5,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Piauí,Latin America
